timestamp,soil_moisture,temperature,light_level
2026-01-01 00:00:00+00:00,65.0,21.01,2.86
2026-01-01 00:15:00+00:00,65.0,21.02,0.0
2026-01-01 00:30:00+00:00,64.91,20.67,1.49
2026-01-01 00:45:00+00:00,64.86,20.66,0.0
2026-01-01 01:00:00+00:00,64.76,20.37,0.0
2026-01-01 01:15:00+00:00,64.63,20.34,0.0
2026-01-01 01:30:00+00:00,64.42,20.38,2.47
2026-01-01 01:45:00+00:00,64.45,19.72,0.62
2026-01-01 02:00:00+00:00,64.6,20.05,0.73
2026-01-01 02:15:00+00:00,64.43,20.01,2.72
2026-01-01 02:30:00+00:00,64.43,20.0,2.31
2026-01-01 02:45:00+00:00,64.41,20.17,1.53
2026-01-01 03:00:00+00:00,64.32,20.79,0.0
2026-01-01 03:15:00+00:00,64.01,20.2,0.0
2026-01-01 03:30:00+00:00,63.72,20.89,0.0
2026-01-01 03:45:00+00:00,63.52,20.26,1.46
2026-01-01 04:00:00+00:00,63.11,20.84,0.34
2026-01-01 04:15:00+00:00,63.22,21.2,0.0
2026-01-01 04:30:00+00:00,63.17,21.56,0.0
2026-01-01 04:45:00+00:00,63.06,21.84,0.0
2026-01-01 05:00:00+00:00,62.62,22.14,0.0
2026-01-01 05:15:00+00:00,62.23,22.08,0.0
2026-01-01 05:30:00+00:00,62.12,22.35,1.06
2026-01-01 05:45:00+00:00,62.29,23.07,0.76
2026-01-01 06:00:00+00:00,62.06,23.08,3.82
2026-01-01 06:15:00+00:00,62.05,23.1,6.24
2026-01-01 06:30:00+00:00,61.85,23.51,8.22
2026-01-01 06:45:00+00:00,61.71,23.94,15.18
2026-01-01 07:00:00+00:00,61.73,24.74,15.17
2026-01-01 07:15:00+00:00,61.51,25.01,20.39
2026-01-01 07:30:00+00:00,61.23,25.57,27.23
2026-01-01 07:45:00+00:00,61.27,25.62,26.39
2026-01-01 08:00:00+00:00,61.09,26.19,34.64
2026-01-01 08:15:00+00:00,61.05,26.72,36.53
2026-01-01 08:30:00+00:00,60.74,26.83,42.46
2026-01-01 08:45:00+00:00,60.74,27.45,43.62
2026-01-01 09:00:00+00:00,60.56,27.5,49.94
2026-01-01 09:15:00+00:00,60.4,27.96,52.23
2026-01-01 09:30:00+00:00,60.19,28.32,57.87
2026-01-01 09:45:00+00:00,59.88,28.44,57.73
2026-01-01 10:00:00+00:00,59.63,29.29,58.58
2026-01-01 10:15:00+00:00,59.31,29.33,61.77
2026-01-01 10:30:00+00:00,59.2,29.8,61.45
2026-01-01 10:45:00+00:00,58.9,30.24,66.55
2026-01-01 11:00:00+00:00,58.41,30.52,68.23
2026-01-01 11:15:00+00:00,57.87,30.85,73.02
2026-01-01 11:30:00+00:00,57.34,30.87,67.58
2026-01-01 11:45:00+00:00,57.15,31.0,68.73
2026-01-01 12:00:00+00:00,56.7,31.31,68.27
2026-01-01 12:15:00+00:00,56.46,31.02,69.69
2026-01-01 12:30:00+00:00,56.2,31.25,69.59
2026-01-01 12:45:00+00:00,55.9,31.43,67.98
2026-01-01 13:00:00+00:00,55.68,31.64,69.23
2026-01-01 13:15:00+00:00,55.41,32.15,64.5
2026-01-01 13:30:00+00:00,54.71,31.82,66.11
2026-01-01 13:45:00+00:00,54.37,32.02,63.34
2026-01-01 14:00:00+00:00,54.14,32.53,60.09
2026-01-01 14:15:00+00:00,54.09,32.02,57.09
2026-01-01 14:30:00+00:00,54.05,32.31,59.93
